"a"	"b"	"w"	"x1"	"y1"	"x2"	"y2"
"11_8"	"13_7"	0.376759100660372	11	0.605782551118276	13	0.416423876049737
"11_9"	"13_7"	0.431363753492729	11	0.326530681710254	13	0.416423876049737
"11_10"	"13_7"	0.183482678428374	11	0.751484612856752	13	0.416423876049737
"11_11"	"13_7"	0.323485914574164	11	0.378698404902879	13	0.416423876049737
"11_1"	"13_8"	0.204407889071175	11	0.582619083410207	13	0.704199272935783
"11_2"	"13_8"	0.162449655018392	11	0.83834761676201	13	0.704199272935783
"11_3"	"13_8"	0.148495486153592	11	0.439587343757806	13	0.704199272935783
"11_4"	"13_8"	0.155286485818644	11	0.495756079504949	13	0.704199272935783
"11_5"	"13_8"	0.52268520838142	11	0.653731556000372	13	0.704199272935783
"11_6"	"13_8"	0.613416112747009	11	0.704411947933681	13	0.704199272935783
"11_7"	"13_8"	0.147515793781597	11	0.239667677804996	13	0.704199272935783
"11_8"	"13_8"	0.205572514281131	11	0.605782551118276	13	0.704199272935783
"11_9"	"13_8"	0.138434969589282	11	0.326530681710254	13	0.704199272935783
"11_10"	"13_8"	0.166947957287641	11	0.751484612856752	13	0.704199272935783
"11_11"	"13_8"	0.143634370550659	11	0.378698404902879	13	0.704199272935783
"11_1"	"13_9"	0.157510501220817	11	0.582619083410207	13	0.727362740643852
"11_2"	"13_9"	0.152233265726326	11	0.83834761676201	13	0.727362740643852
"11_3"	"13_9"	0.258539612035496	11	0.439587343757806	13	0.727362740643852
"11_4"	"13_9"	0.173707649595555	11	0.495756079504949	13	0.727362740643852
"11_5"	"13_9"	0.136172100607253	11	0.653731556000372	13	0.727362740643852
"11_6"	"13_9"	0.179256780232296	11	0.704411947933681	13	0.727362740643852
"11_7"	"13_9"	0.130910795234529	11	0.239667677804996	13	0.727362740643852
"11_8"	"13_9"	0.1985238654429	11	0.605782551118276	13	0.727362740643852
"11_9"	"13_9"	0.260790070411685	11	0.326530681710254	13	0.727362740643852
"11_10"	"13_9"	0.594785870819513	11	0.751484612856752	13	0.727362740643852
"11_11"	"13_9"	0.187844706147517	11	0.378698404902879	13	0.727362740643852
"11_1"	"13_10"	0.172224678683047	11	0.582619083410207	13	0.378698404902879
"11_2"	"13_10"	0.125174572015833	11	0.83834761676201	13	0.378698404902879
"11_3"	"13_10"	0.222308460050058	11	0.439587343757806	13	0.378698404902879
"11_4"	"13_10"	0.178479512708608	11	0.495756079504949	13	0.378698404902879
"11_5"	"13_10"	0.16156102486177	11	0.653731556000372	13	0.378698404902879
"11_6"	"13_10"	0.122276446352041	11	0.704411947933681	13	0.378698404902879
"11_7"	"13_10"	0.156154500705146	11	0.239667677804996	13	0.378698404902879
"11_8"	"13_10"	0.199964165002976	11	0.605782551118276	13	0.378698404902879
"11_9"	"13_10"	0.241520665456783	11	0.326530681710254	13	0.378698404902879
"11_10"	"13_10"	0.185802387293343	11	0.751484612856752	13	0.378698404902879
"11_11"	"13_10"	0.733532343631454	11	0.378698404902879	13	0.378698404902879
"11_1"	"13_11"	0.105298543311246	11	0.582619083410207	13	0.260511195174803
"11_2"	"13_11"	0.207579933373768	11	0.83834761676201	13	0.260511195174803
"11_3"	"13_11"	0.244292277894877	11	0.439587343757806	13	0.260511195174803
"11_4"	"13_11"	0.341235033915404	11	0.495756079504949	13	0.260511195174803
"11_5"	"13_11"	0.102674431860624	11	0.653731556000372	13	0.260511195174803
"11_6"	"13_11"	0.112307393787854	11	0.704411947933681	13	0.260511195174803
"11_7"	"13_11"	0.103613845442677	11	0.239667677804996	13	0.260511195174803
"11_8"	"13_11"	0.128942354022154	11	0.605782551118276	13	0.260511195174803
"11_9"	"13_11"	0.123147836052086	11	0.326530681710254	13	0.260511195174803
"11_10"	"13_11"	0.151146225305586	11	0.751484612856752	13	0.260511195174803
"11_11"	"13_11"	0.242668620704706	11	0.378698404902879	13	0.260511195174803
"11_1"	"13_12"	0.163098406547188	11	0.582619083410207	13	0.291835400997621
"11_2"	"13_12"	0.268743059466358	11	0.83834761676201	13	0.291835400997621
"11_3"	"13_12"	0.152971465922321	11	0.439587343757806	13	0.291835400997621
"11_4"	"13_12"	0.154588358232762	11	0.495756079504949	13	0.291835400997621
"11_5"	"13_12"	0.115015998506377	11	0.653731556000372	13	0.291835400997621
"11_6"	"13_12"	0.151958465644304	11	0.704411947933681	13	0.291835400997621
"11_7"	"13_12"	0.119553318789516	11	0.239667677804996	13	0.291835400997621
"11_8"	"13_12"	0.153197777735145	11	0.605782551118276	13	0.291835400997621
"11_9"	"13_12"	0.547277698988252	11	0.326530681710254	13	0.291835400997621
"11_10"	"13_12"	0.157041533810733	11	0.751484612856752	13	0.291835400997621
"11_11"	"13_12"	0.263740843021969	11	0.378698404902879	13	0.291835400997621
"11_1"	"13_13"	0.1204990510548	11	0.582619083410207	13	0.495756079504949
"11_2"	"13_13"	0.126980825746497	11	0.83834761676201	13	0.495756079504949
"11_3"	"13_13"	0.112251701615723	11	0.439587343757806	13	0.495756079504949
"11_4"	"13_13"	0.71263159359951	11	0.495756079504949	13	0.495756079504949
"11_5"	"13_13"	0.131860831930389	11	0.653731556000372	13	0.495756079504949
"11_6"	"13_13"	0.173269410429969	11	0.704411947933681	13	0.495756079504949
"11_7"	"13_13"	0.247677946633198	11	0.239667677804996	13	0.495756079504949
"11_8"	"13_13"	0.143345918602274	11	0.605782551118276	13	0.495756079504949
"11_9"	"13_13"	0.137244887615038	11	0.326530681710254	13	0.495756079504949
